customer_id,region,tenure_months,monthly_charges,contract_type,internet_type,payment_method,support_tickets_90d,num_logins_30d,late_payments_12m,age,is_senior,churn
100000,West,24,64.68,one_year,fiber,mailed_check,3,18,0,22,0,0
100001,South,15,40.69,one_year,fiber,paypal,1,16,0,22,0,1
100002,West,37,61.6,two_year,dsl,paypal,0,19,1,34,0,1
100003,East,47,46.26,month_to_month,fiber,credit_card,1,26,1,47,0,1
100004,North,18,59.45,one_year,fiber,paypal,0,17,1,32,0,0
100005,West,55,15.0,one_year,dsl,mailed_check,0,20,0,51,0,0
100006,West,45,42.44,month_to_month,fiber,paypal,0,16,1,72,1,1
100007,West,11,94.28,month_to_month,dsl,paypal,1,22,0,77,1,1
100008,North,67,81.61,one_year,fiber,paypal,0,23,0,58,0,0
100009,South,3,91.38,month_to_month,dsl,credit_card,0,24,2,26,0,1
100010,South,47,92.75,one_year,fiber,credit_card,4,18,1,64,1,1
100011,West,31,78.46,one_year,none,paypal,0,28,1,68,1,1
100012,East,47,55.94,month_to_month,dsl,credit_card,1,24,0,66,1,1
100013,West,55,44.25,month_to_month,none,credit_card,1,13,0,73,1,1
100014,South,49,87.93,two_year,dsl,mailed_check,1,13,1,18,0,1
100015,North,46,66.29,one_year,dsl,bank_transfer,2,23,1,41,0,0
100016,East,60,114.88,one_year,dsl,mailed_check,3,21,1,54,0,1
100017,North,50,57.7,one_year,fiber,mailed_check,1,17,0,28,0,0
100018,West,58,104.46,one_year,fiber,credit_card,2,22,1,42,0,0
100019,East,29,61.86,two_year,none,mailed_check,1,17,0,33,0,0
100020,West,14,91.72,one_year,fiber,bank_transfer,2,20,0,31,0,1
100021,South,16,98.93,month_to_month,fiber,paypal,0,14,1,59,0,1
100022,West,44,44.54,month_to_month,fiber,credit_card,0,19,1,59,0,1
100023,West,38,55.3,month_to_month,none,bank_transfer,1,13,1,22,0,1
100024,West,5,44.34,one_year,fiber,paypal,1,23,0,60,1,0
100025,North,14,40.4,month_to_month,fiber,bank_transfer,0,23,0,72,1,1
100026,South,69,78.34,one_year,fiber,paypal,0,20,1,20,0,1
100027,North,52,61.07,two_year,dsl,credit_card,0,17,1,64,1,0
100028,North,54,66.05,month_to_month,none,credit_card,4,27,1,61,1,1
100029,East,14,76.12,month_to_month,none,paypal,2,13,1,67,1,1
100030,East,4,27.85,one_year,fiber,bank_transfer,1,21,1,77,1,1
100031,West,20,90.74,month_to_month,dsl,paypal,0,17,1,63,1,1
100032,South,61,58.02,one_year,dsl,bank_transfer,0,27,0,40,0,0
100033,South,36,75.65,month_to_month,none,credit_card,1,19,0,25,0,0
100034,South,56,77.41,month_to_month,fiber,paypal,1,17,1,74,1,1
100035,North,35,92.42,one_year,fiber,credit_card,1,16,1,63,1,1
100036,North,35,62.9,month_to_month,none,mailed_check,0,19,0,45,0,0
